"customer_name","order_id","shipping_provider","shipping_delay_days"
"Ulysses Green",6035,"fedex",5
"Yvonne Turner",11560,"fedex",4
"Yvonne Turner",11416,"fedex",4
"David Wilson",11768,"fedex",5
"Brian White",14299,"fedex",5
"Brian White",16246,"fedex",5
"Victor Adams",6581,"fedex",5
"Samuel Adams",11288,"fedex",4
"Emily Clark",3017,"fedex",5
"Emily Clark",4613,"fedex",5
"Cynthia Bell",1463,"fedex",4
"Zachary Murphy",4133,"fedex",5
"Zachary Murphy",2923,"fedex",5
"Zachary Murphy",15351,"fedex",5
"Zachary Murphy",3829,"fedex",4
"Tara Smith",7404,"fedex",5
"Derek Robinson",19759,"fedex",4
"Amelia Hill",6785,"fedex",5
"Amelia Hill",10564,"fedex",5
"Xavier Green",9636,"fedex",4
"Grace Martinez",11204,"fedex",4
"Grace Martinez",9488,"fedex",5
"Erin Stewart",8038,"fedex",4
"Yvonne Smith",12634,"fedex",5
"Henry Walker",14679,"fedex",4
"Fred Harris",2601,"fedex",4
"Cynthia Wilson",3361,"fedex",5
"Wanda Green",7248,"fedex",5
"Grace Scott",8628,"fedex",4
"Grace Scott",15025,"fedex",4
"Derek Taylor",4761,"fedex",5
"Derek Taylor",3309,"fedex",4
"Derek Taylor",12174,"fedex",5
"Amelia Green",87,"fedex",5
"Amelia Green",15625,"fedex",5
"Amelia Green",1095,"fedex",4
"Xavier Davis",13717,"fedex",5
"Xavier Davis",521,"fedex",4
"Xavier Davis",10582,"fedex",4
"Jack Allen",15724,"fedex",4
"Hugo Edwards",16628,"fedex",5
"Yvonne Reed",18913,"fedex",5
"Yvonne Reed",3671,"fedex",4
"Karen Young",17086,"fedex",5
"Karen Young",2379,"fedex",4
"Ivy James",17106,"fedex",5
"Ivy James",10428,"fedex",4
"Cynthia Reed",7132,"fedex",5
"Cynthia Reed",8736,"fedex",5
"Cynthia Reed",17699,"fedex",5
"Zachary Scott",527,"fedex",4
"Zachary Scott",17400,"fedex",4
"Grace King",3815,"fedex",5
"Grace King",3475,"fedex",4
"Derek Adams",17230,"fedex",4
"Amelia Davis",14433,"fedex",5
"Mona Scott",2965,"fedex",4
"Mona Scott",6589,"fedex",4
"Hugo Lewis",5345,"fedex",4
"Brian Brown",289,"fedex",5
"Nathan Wright",4479,"fedex",4
"Nathan Wright",17983,"fedex",4
"Nathan Wright",11254,"fedex",4
"Ivy Morris",5991,"fedex",5
"Ivy Morris",18469,"fedex",5
"Ivy Morris",16756,"fedex",5
"Ivy Morris",5749,"fedex",4
"Ivy Morris",18815,"fedex",4
"Cynthia Green",3175,"fedex",4
"Cynthia Green",14735,"fedex",5
"Olivia Adams",5875,"fedex",5
"Monica Wood",14463,"fedex",4
"Monica Wood",1583,"fedex",5
"Jack Reed",12108,"fedex",4
"Grace Brown",19833,"fedex",5
"Grace Brown",8096,"fedex",4
"Karen King",2005,"fedex",4
"Karen King",8026,"fedex",5
"Hugo King",10896,"fedex",5
"Hugo King",19551,"fedex",4
"Hugo King",18017,"fedex",4
"Erin Davis",12832,"fedex",5
"Erin Davis",13057,"fedex",4
"Quinn Rogers",3239,"fedex",5
"Quinn Rogers",11066,"fedex",4
"Liam Hughes",3519,"fedex",5
"Ivy Scott",18257,"fedex",5
"Fred Reed",18035,"fedex",5
"Fred Reed",9456,"fedex",5
"Fred Reed",6097,"fedex",4
"Rachel Green",4745,"fedex",5
"Rachel Green",2089,"fedex",5
"Rachel Green",12989,"fedex",5
"Rachel Green",5781,"fedex",5
"Paul Bell",9792,"fedex",4
"Monica King",3951,"fedex",4
"Jack Green",11906,"fedex",4
"Steve Baker",8112,"fedex",5
"Steve Baker",14371,"fedex",4
"Quinn Cooper",1821,"fedex",4
"Quinn Cooper",17669,"fedex",5
"Nathan Hill",15115,"fedex",5
"Nathan Hill",15912,"fedex",5
"Tina Evans",7200,"fedex",4
"Olivia Lee",19257,"fedex",5
"Olivia Lee",5003,"fedex",4
"Olivia Lee",16640,"fedex",4
"Liam Davis",5399,"fedex",4
"Liam Davis",18231,"fedex",4
"Liam Davis",14391,"fedex",4
"Liam Davis",6143,"fedex",5
"Ivy Green",14883,"fedex",4
"Ivy Green",15671,"fedex",4
"Ivy Green",18501,"fedex",4
"Ulysses Parker",11982,"fedex",4
"Ulysses Parker",17977,"fedex",4
"Ulysses Parker",6355,"fedex",5
"Ulysses Parker",10124,"fedex",4
"Ulysses Parker",9744,"fedex",5
"Ulysses Parker",19805,"fedex",4
"Steve Turner",6957,"fedex",5
"Steve Turner",10580,"fedex",4
"Paul Martinez",14775,"fedex",4
"Tina Martin",7870,"fedex",4
"Tina Martin",11740,"fedex",5
"Quinn Scott",13715,"fedex",4
"Nathan Green",8848,"fedex",4
"Nathan Green",8534,"fedex",5
"Nathan Green",14079,"fedex",4
"Nathan Green",14247,"fedex",4
"William Phillips",16620,"fedex",5
"William Phillips",15776,"fedex",5
"William Phillips",14637,"fedex",5
"Ulysses Lewis",5113,"fedex",4
"Rachel Bell",11088,"fedex",5
"Rachel Bell",19561,"fedex",4
"Rachel Bell",13279,"fedex",4
"Olivia Johnson",1967,"fedex",4
"Liam Smith",17749,"fedex",4
"Paul Adams",12292,"fedex",5
"Yara Lee",8192,"fedex",5
"William Reed",13093,"fedex",5
"William Reed",9234,"fedex",5
"William Reed",9564,"fedex",5
"Tina Davis",15738,"fedex",5
"Tina Davis",19175,"fedex",4
"Tina Davis",19039,"fedex",4
"Quinn Davis",16316,"fedex",4
"Zackary Brooks",15075,"fedex",5
"Zackary Brooks",3483,"fedex",4
"Xena Parker",14859,"fedex",5
"Xena Parker",7776,"fedex",4
"Ulysses Brown",9748,"fedex",4
"Ulysses Brown",6111,"fedex",5
"Ulysses Brown",17965,"fedex",5
"Rachel Reed",6707,"fedex",4
"Rachel Reed",5179,"fedex",5
"Olivia Smith",16268,"fedex",5
"Olivia Smith",15455,"fedex",5
"Abigail Bailey",12278,"fedex",5
